WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (1566813.82929606 5206851.84191944),1727451,AIMS,2790478,26,Riverview Road,"26 Riverview Road, Rangiora",Waimakariri District,,,,,,26,,,,Riverview,Road,,,,Rangiora,Rangiora,Thoroughfare,Current,172.5909177,-43.29042592,Riverview,,,Rangiora,Rangiora,Riverview Road,"26 Riverview Road, Rangiora",1566813.829,5206851.842
POINT (1570932.9358008 5195715.87290322),224411,AIMS,206483,8,Hamel Lane,"8 Hamel Lane, Kaiapoi",Waimakariri District,,,,,,8,,,,Hamel,Lane,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6411023,-43.39086868,Hamel,,,Kaiapoi,Kaiapoi,Hamel Lane,"8 Hamel Lane, Kaiapoi",1570932.936,5195715.873
POINT (1571723.82124994 5196287.06359646),233432,AIMS,213951,6,Hugh Street,"6 Hugh Street, Kaiapoi",Waimakariri District,,,,,,6,,,,Hugh,Street,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6508968,-43.38575573,Hugh,,,Kaiapoi,Kaiapoi,Hugh Street,"6 Hugh Street, Kaiapoi",1571723.821,5196287.064
POINT (1572755.8977417 5197001.98092396),241227,AIMS,2760734,29,Meadow Street,"29 Meadow Street, Kaiapoi",Waimakariri District,,,,,,29,,,,Meadow,Street,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6636744,-43.37935657,Meadow,,,Kaiapoi,Kaiapoi,Meadow Street,"29 Meadow Street, Kaiapoi",1572755.898,5197001.981
POINT (1573139.95959741 5197215.13301491),2008666,AIMS,4360476,11,Johnson Street,"11 Johnson Street, Kaiapoi",Waimakariri District,,,,,,11,,,,Johnson,Street,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.668426,-43.37745112,Johnson,,,Kaiapoi,Kaiapoi,Johnson Street,"11 Johnson Street, Kaiapoi",1573139.96,5197215.133
POINT (1572315.19997969 5198075.03832391),240830,AIMS,3185679,25,Old North Road,"25 Old North Road, Kaiapoi",Waimakariri District,,,,,,25,,,,Old North,Road,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6582884,-43.36967827,Old North,,,Kaiapoi,Kaiapoi,Old North Road,"25 Old North Road, Kaiapoi",1572315.2,5198075.038
POINT (1573423.40533168 5199684.13108208),248670,AIMS,225913,230,Lees Road,"230 Lees Road, Kaiapoi",Waimakariri District,,,,,,230,,,,Lees,Road,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6720447,-43.35522945,Lees,,,Kaiapoi,Kaiapoi,Lees Road,"230 Lees Road, Kaiapoi",1573423.405,5199684.131
POINT (1572964.46092261 5197965.0077478),1341518,AIMS,1179233,2,Stark Place,"2 Stark Place, Kaiapoi",Waimakariri District,,,,,,2,,,,Stark,Place,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6662966,-43.37069268,Stark,,,Kaiapoi,Kaiapoi,Stark Place,"2 Stark Place, Kaiapoi",1572964.461,5197965.008
POINT (1573664.26290304 5197718.31718522),1369249,AIMS,3152530,151,Ferry Road,"151 Ferry Road, Kaiapoi",Waimakariri District,,,,,,151,,,,Ferry,Road,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6749224,-43.37293885,Ferry,,,Kaiapoi,Kaiapoi,Ferry Road,"151 Ferry Road, Kaiapoi",1573664.263,5197718.317
POINT (1572826.37819873 5198446.63746299),1633325,AIMS,1399700,4,Magnate Drive,"4 Magnate Drive, Kaiapoi",Waimakariri District,,,,,,4,,,,Magnate,Drive,,,,Kaiapoi,Kaiapoi,Thoroughfare,Current,172.6646162,-43.36635093,Magnate,,,Kaiapoi,Kaiapoi,Magnate Drive,"4 Magnate Drive, Kaiapoi",1572826.378,5198446.637
POINT (1573107.71591659 5202857.8880948),248510,AIMS,2722895,1,Simon Place,"1 Simon Place, Woodend",Waimakariri District,,,,,,1,,,,Simon,Place,,,,Woodend,Woodend,Thoroughfare,Current,172.6683048,-43.32664043,Simon,,,Woodend,Woodend,Simon Place,"1 Simon Place, Woodend",1573107.716,5202857.888
POINT (1677388.68879748 6023445.2307351),918397,AIMS,814747,47,Cobham Avenue,"47 Cobham Avenue, Dargaville",Kaipara District,,,,,,47,,,,Cobham,Avenue,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8578921,-35.93027322,Cobham,,,Dargaville,Dargaville,Cobham Avenue,"47 Cobham Avenue, Dargaville",1677388.689,6023445.231
POINT (1677378.28621835 6021930.71256823),918657,AIMS,4463817,80,Beach Road,"80 Beach Road, Dargaville",Kaipara District,,,,,,80,,,,Beach,Road,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8579243,-35.94392746,Beach,,,Dargaville,Dargaville,Beach Road,"80 Beach Road, Dargaville",1677378.286,6021930.713
POINT (1678022.1913613 6021883.46983376),919280,AIMS,815592,11,Beach Road,"11 Beach Road, Dargaville",Kaipara District,,,,,,11,,,,Beach,Road,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8650675,-35.94430212,Beach,,,Dargaville,Dargaville,Beach Road,"11 Beach Road, Dargaville",1678022.191,6021883.47
POINT (1678170.82467969 6022091.49869413),919311,AIMS,815622,14,Edward Street,"14 Edward Street, Dargaville",Kaipara District,,,,,,14,,,,Edward,Street,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8666948,-35.94241485,Edward,,,Dargaville,Dargaville,Edward Street,"14 Edward Street, Dargaville",1678170.825,6022091.499
POINT (1678063.35439543 6020337.72438047),919682,AIMS,815982,10,Park Road,"10 Park Road, Dargaville",Kaipara District,,,,,,10,,,,Park,Road,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8656758,-35.9582337,Park,,,Dargaville,Dargaville,Park Road,"10 Park Road, Dargaville",1678063.354,6020337.724
POINT (1678121.58739981 6023668.14612504),1530832,AIMS,1331396,1,Pixie Lane,"1 Pixie Lane, Dargaville",Kaipara District,,,,,,1,,,,Pixie,Lane,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8659939,-35.9282053,Pixie,,,Dargaville,Dargaville,Pixie Lane,"1 Pixie Lane, Dargaville",1678121.587,6023668.146
POINT (1678063.98537016 6021489.61593979),1955696,AIMS,1512381,25,River Road,"25 River Road, Dargaville",Kaipara District,,,,,,25,,,,River,Road,,,,Dargaville,Dargaville,Thoroughfare,Current,173.8655695,-35.94784937,River,,,Dargaville,Dargaville,River Road,"25 River Road, Dargaville",1678063.985,6021489.616
POINT (1717523.5567096 5999134.16482222),1407597,AIMS,1230573,7,Marohemo Road,"7 Marohemo Road, Maungaturoto",Kaipara District,,,,,,7,,,,Marohemo,Road,,,,Maungaturoto,Maungaturoto,Thoroughfare,Current,174.3063357,-36.14539893,Marohemo,,,Maungaturoto,Maungaturoto,Marohemo Road,"7 Marohemo Road, Maungaturoto",1717523.557,5999134.165
POINT (1722482.44932026 5997047.31813749),943599,AIMS,3832644,70,James Road,"70 James Road, Maungaturoto",Kaipara District,,,,,,70,,,,James,Road,,,,Maungaturoto,Maungaturoto,Thoroughfare,Current,174.3617679,-36.16359415,James,,,Maungaturoto,Maungaturoto,James Road,"70 James Road, Maungaturoto",1722482.449,5997047.318
POINT (1734972.86750572 6004414.6893663),952900,AIMS,846351,5,Jude Road,"5 Jude Road, Mangawhai",Kaipara District,,,,,,5,,,,Jude,Road,,,,Mangawhai,Mangawhai,Thoroughfare,Current,174.4993326,-36.09553495,Jude,,,Mangawhai,Mangawhai,Jude Road,"5 Jude Road, Mangawhai",1734972.868,6004414.689
POINT (1742079.33572876 6001028.49667287),959978,AIMS,852448,9,Moir Street,"9 Moir Street, Mangawhai",Kaipara District,,,,,,9,,,,Moir,Street,,,,Mangawhai,Mangawhai,Thoroughfare,Current,174.5788587,-36.12503888,Moir,,,Mangawhai,Mangawhai,Moir Street,"9 Moir Street, Mangawhai",1742079.336,6001028.497
POINT (1744312.46976285 6000791.10279975),2114807,AIMS,3233832,103,Rako Drive,"103 Rako Drive, Mangawhai",Kaipara District,,,,,,103,,,,Rako,Drive,,,,Mangawhai,Mangawhai,Thoroughfare,Current,174.6037092,-36.12684872,Rako,,,Mangawhai,Mangawhai,Rako Drive,"103 Rako Drive, Mangawhai",1744312.47,6000791.103
POINT (1740686.80228672 6003704.77201666),54237,AIMS,51314,50,Atkin Road,"50 Atkin Road, Mangawhai",Kaipara District,,,,,,50,,,,Atkin,Road,,,,Mangawhai,Mangawhai,Thoroughfare,Current,174.5629112,-36.10112213,Atkin,,,Mangawhai,Mangawhai,Atkin Road,"50 Atkin Road, Mangawhai",1740686.802,6003704.772
POINT (1739846.84535282 6005347.69592408),2164427,AIMS,4572669,134,King Road,"134 King Road, Mangawhai",Kaipara District,,,,,,134,,,,King,Road,,,,Mangawhai,Mangawhai,Thoroughfare,Current,174.5532916,-36.08643665,King,,,Mangawhai,Mangawhai,King Road,"134 King Road, Mangawhai",1739846.845,6005347.696
POINT (1739381.40652251 6003163.43659721),2233243,AIMS,5334498,32,Hancock Grove,"32 Hancock Grove, Mangawhai",Kaipara District,,,,,,32,,,,Hancock,Grove,,,,Mangawhai,Mangawhai,Thoroughfare,Current,174.5485099,-36.10618917,Hancock,,,Mangawhai,Mangawhai,Hancock Grove,"32 Hancock Grove, Mangawhai",1739381.407,6003163.437
POINT (1742043.12304833 6004935.52282242),3137113,CADS,137113,28A,Marram Place,"28A Marram Place, Mangawhai Heads, Mangawhai",Kaipara District,,,,,,28,A,,,Marram,Place,,,,Mangawhai Heads,Mangawhai,Thoroughfare,Current,174.5777519,-36.08983269,Marram,,,Mangawhai Heads,Mangawhai,Marram Place,"28A Marram Place, Mangawhai Heads, Mangawhai",1742043.123,6004935.523
POINT (1742584.72187639 6005089.66951881),959764,AIMS,852238,1,Olsen Avenue,"1 Olsen Avenue, Mangawhai Heads, Mangawhai",Kaipara District,,,,,,1,,,,Olsen,Avenue,,,,Mangawhai Heads,Mangawhai,Thoroughfare,Current,174.5837378,-36.08836412,Olsen,,,Mangawhai Heads,Mangawhai,Olsen Avenue,"1 Olsen Avenue, Mangawhai Heads, Mangawhai",1742584.722,6005089.67
POINT (1743125.98721711 6005844.04907175),961062,AIMS,853401,1,Pearl Street,"1 Pearl Street, Mangawhai Heads, Mangawhai",Kaipara District,,,,,,1,,,,Pearl,Street,,,,Mangawhai Heads,Mangawhai,Thoroughfare,Current,174.5896108,-36.0814858,Pearl,,,Mangawhai Heads,Mangawhai,Pearl Street,"1 Pearl Street, Mangawhai Heads, Mangawhai",1743125.987,6005844.049
POINT (1743205.94514577 6005863.06035046),961117,AIMS,853456,4,Pearl Street,"4 Pearl Street, Mangawhai Heads, Mangawhai",Kaipara District,,,,,,4,,,,Pearl,Street,,,,Mangawhai Heads,Mangawhai,Thoroughfare,Current,174.5904951,-36.08130268,Pearl,,,Mangawhai Heads,Mangawhai,Pearl Street,"4 Pearl Street, Mangawhai Heads, Mangawhai",1743205.945,6005863.06
POINT (1743097.27794843 6004884.80593851),961400,AIMS,853737,31,North Avenue,"31 North Avenue, Mangawhai Heads, Mangawhai",Kaipara District,,,,,,31,,,,North,Avenue,,,,Mangawhai Heads,Mangawhai,Thoroughfare,Current,174.5894661,-36.09013505,North,,,Mangawhai Heads,Mangawhai,North Avenue,"31 North Avenue, Mangawhai Heads, Mangawhai",1743097.278,6004884.806
POINT (1320051.65251077 4877135.62423871),14173,AIMS,13543,7,Side Street,"7 Side Street, Clinton",Clutha District,,,,,,7,,,,Side,Street,,,,Clinton,Clinton,Thoroughfare,Current,169.3712967,-46.20173113,Side,,,Clinton,Clinton,Side Street,"7 Side Street, Clinton",1320051.653,4877135.624
POINT (1310435.41716875 4904993.0107322),11570,AIMS,11142,19,Surrey Street,"19 Surrey Street, Tapanui",Clutha District,,,,,,19,,,,Surrey,Street,,,,Tapanui,Tapanui,Thoroughfare,Current,169.263862,-45.94752322,Surrey,,,Tapanui,Tapanui,Surrey Street,"19 Surrey Street, Tapanui",1310435.417,4904993.011
POINT (1346215.02424501 4847783.63042323),18335,AIMS,3152782,3,Park Lane,"3 Park Lane, Owaka",Clutha District,,,,,,3,,,,Park,Lane,,,,Owaka,Owaka,Thoroughfare,Current,169.693954,-46.47571158,Park,,,Owaka,Owaka,Park Lane,"3 Park Lane, Owaka",1346215.024,4847783.63
POINT (1343634.57151709 4850454.64640107),1468135,AIMS,1279265,8,Main Road,"8 Main Road, Owaka",Clutha District,,,,,,8,,,,Main,Road,,,,Owaka,Owaka,Thoroughfare,Current,169.6618651,-46.45073835,Main,,,Owaka,Owaka,Main Road,"8 Main Road, Owaka",1343634.572,4850454.646
POINT (1284691.77468575 4886397.23188417),114476,AIMS,108463,125,Coutts Road,"125 Coutts Road, Gore",Gore District,,,,,,125,,,,Coutts,Road,,,,Gore,Gore,Thoroughfare,Current,168.9202337,-46.10313697,Coutts,,,Gore,Gore,Coutts Road,"125 Coutts Road, Gore",1284691.775,4886397.232
POINT (1284662.45225344 4886395.81569938),114477,AIMS,108464,127,Coutts Road,"127 Coutts Road, Gore",Gore District,,,,,,127,,,,Coutts,Road,,,,Gore,Gore,Thoroughfare,Current,168.9198543,-46.10313615,Coutts,,,Gore,Gore,Coutts Road,"127 Coutts Road, Gore",1284662.452,4886395.816
POINT (1347904.81779466 4873771.87835194),18929,AIMS,18083,10,Ryrie Street,"10 Ryrie Street, Balclutha",Clutha District,,,,,,10,,,,Ryrie,Street,,,,Balclutha,Balclutha,Thoroughfare,Current,169.7299054,-46.24284002,Ryrie,,,Balclutha,Balclutha,Ryrie Street,"10 Ryrie Street, Balclutha",1347904.818,4873771.878
POINT (1347680.81941409 4873805.03857279),19045,AIMS,18197,194,Clyde Street,"194 Clyde Street, Balclutha",Clutha District,,,,,,194,,,,Clyde,Street,,,,Balclutha,Balclutha,Thoroughfare,Current,169.7270223,-46.24245897,Clyde,,,Balclutha,Balclutha,Clyde Street,"194 Clyde Street, Balclutha",1347680.819,4873805.039
POINT (1348118.36614475 4873973.79330799),19224,AIMS,18371,8,Argyle Street,"8 Argyle Street, Balclutha",Clutha District,,,,,,8,,,,Argyle,Street,,,,Balclutha,Balclutha,Thoroughfare,Current,169.7327787,-46.2411049,Argyle,,,Balclutha,Balclutha,Argyle Street,"8 Argyle Street, Balclutha",1348118.366,4873973.793
POINT (1349320.32885602 4874872.53434504),19822,AIMS,18950,10,Essex Street,"10 Essex Street, Balclutha",Clutha District,,,,,,10,,,,Essex,Street,,,,Balclutha,Balclutha,Thoroughfare,Current,169.7488216,-46.23347353,Essex,,,Balclutha,Balclutha,Essex Street,"10 Essex Street, Balclutha",1349320.329,4874872.534
POINT (1349214.30353714 4874865.52413747),20241,AIMS,19338,8,Cromer Street,"8 Cromer Street, Balclutha",Clutha District,,,,,,8,,,,Cromer,Street,,,,Balclutha,Balclutha,Thoroughfare,Current,169.7474451,-46.23349743,Cromer,,,Balclutha,Balclutha,Cromer Street,"8 Cromer Street, Balclutha",1349214.304,4874865.524
POINT (1357039.33597603 4869490.98375512),21488,AIMS,20556,10,Exe Street,"10 Exe Street, Kaitangata",Clutha District,,,,,,10,,,,Exe,Street,,,,Kaitangata,Kaitangata,Thoroughfare,Current,169.8460022,-46.28463537,Exe,,,Kaitangata,Kaitangata,Exe Street,"10 Exe Street, Kaitangata",1357039.336,4869490.984
POINT (1357263.99920822 4869624.02237242),21593,AIMS,20654,25,Bridport Street,"25 Bridport Street, Kaitangata",Clutha District,,,,,,25,,,,Bridport,Street,,,,Kaitangata,Kaitangata,Thoroughfare,Current,169.8489828,-46.28352022,Bridport,,,Kaitangata,Kaitangata,Bridport Street,"25 Bridport Street, Kaitangata",1357263.999,4869624.022
POINT (1357302.07325825 4869615.80012345),21618,AIMS,20679,29,Bridport Street,"29 Bridport Street, Kaitangata",Clutha District,,,,,,29,,,,Bridport,Street,,,,Kaitangata,Kaitangata,Thoroughfare,Current,169.8494721,-46.28360772,Bridport,,,Kaitangata,Kaitangata,Bridport Street,"29 Bridport Street, Kaitangata",1357302.073,4869615.8
POINT (1356965.55034291 4869546.83637019),21667,AIMS,20727,3,Exe Street,"3 Exe Street, Kaitangata",Clutha District,,,,,,3,,,,Exe,Street,,,,Kaitangata,Kaitangata,Thoroughfare,Current,169.8450747,-46.28410705,Exe,,,Kaitangata,Kaitangata,Exe Street,"3 Exe Street, Kaitangata",1356965.55,4869546.836
POINT (1366158.43868289 4889496.89330234),23170,AIMS,22166,2,Highgate,"2 Highgate, Milton",Clutha District,,,,,,2,,,,Highgate,,,,,Milton,Milton,Thoroughfare,Current,169.9741047,-46.10803653,Highgate,,,Milton,Milton,Highgate,"2 Highgate, Milton",1366158.439,4889496.893
POINT (1365688.20175368 4888209.89618729),23368,AIMS,22364,83,Chaucer Street,"83 Chaucer Street, Milton",Clutha District,,,,,,83,,,,Chaucer,Street,,,,Milton,Milton,Thoroughfare,Current,169.9673935,-46.11944232,Chaucer,,,Milton,Milton,Chaucer Street,"83 Chaucer Street, Milton",1365688.202,4888209.896
POINT (1285285.49815535 4885266.82186732),115391,AIMS,109356,11,Moa Place,"11 Moa Place, Gore",Gore District,,,,,,11,,,,Moa,Place,,,,Gore,Gore,Thoroughfare,Current,168.9271476,-46.11355882,Moa,,,Gore,Gore,Moa Place,"11 Moa Place, Gore",1285285.498,4885266.822
POINT (1285707.15138077 4885762.74280421),115407,AIMS,109370,12,Clyde Street,"12 Clyde Street, Gore",Gore District,,,,,,12,,,,Clyde,Street,,,,Gore,Gore,Thoroughfare,Current,168.9329185,-46.10930083,Clyde,,,Gore,Gore,Clyde Street,"12 Clyde Street, Gore",1285707.151,4885762.743
POINT (1285645.99758891 4885672.09709776),115740,AIMS,109668,5,Vera Street,"5 Vera Street, Gore",Gore District,,,,,,5,,,,Vera,Street,,,,Gore,Gore,Thoroughfare,Current,168.9320692,-46.11008647,Vera,,,Gore,Gore,Vera Street,"5 Vera Street, Gore",1285645.998,4885672.097
POINT (1286004.83706936 4887249.91633611),116719,AIMS,110573,21,Thistle Street,"21 Thistle Street, Gore",Gore District,,,,,,21,,,,Thistle,Street,,,,Gore,Gore,Thoroughfare,Current,168.9377432,-46.09608657,Thistle,,,Gore,Gore,Thistle Street,"21 Thistle Street, Gore",1286004.837,4887249.916
POINT (1285845.9123833 4887164.62462531),116922,AIMS,110731,4,Park Street,"4 Park Street, Gore",Gore District,,,,,,4,,,,Park,Street,,,,Gore,Gore,Thoroughfare,Current,168.935636,-46.09677925,Park,,,Gore,Gore,Park Street,"4 Park Street, Gore",1285845.912,4887164.625
POINT (1285866.40000482 4887166.94704159),116985,AIMS,110779,6,Park Street,"6 Park Street, Gore",Gore District,,,,,,6,,,,Park,Street,,,,Gore,Gore,Thoroughfare,Current,168.9359019,-46.09676782,Park,,,Gore,Gore,Park Street,"6 Park Street, Gore",1285866.4,4887166.947
POINT (1286186.1726739 4886325.29199179),117022,AIMS,110811,7,Elm Lane,"7 Elm Lane, Gore",Gore District,,,,,,7,,,,Elm,Lane,,,,Gore,Gore,Thoroughfare,Current,168.9394729,-46.10447072,Elm,,,Gore,Gore,Elm Lane,"7 Elm Lane, Gore",1286186.173,4886325.292
POINT (1286538.19954455 4886755.03465213),117042,AIMS,110831,86,Main Street,"86 Main Street, Gore",Gore District,,,,,,86,,,,Main,Street,,,,Gore,Gore,Thoroughfare,Current,168.9442996,-46.10077423,Main,,,Gore,Gore,Main Street,"86 Main Street, Gore",1286538.2,4886755.035
POINT (1286353.81955863 4886033.0902515),117160,AIMS,110941,1,Rata Street,"1 Rata Street, Gore",Gore District,,,,,,1,,,,Rata,Street,,,,Gore,Gore,Thoroughfare,Current,168.9414437,-46.10717095,Rata,,,Gore,Gore,Rata Street,"1 Rata Street, Gore",1286353.82,4886033.09
POINT (1286822.93283845 4887461.36654978),117561,AIMS,111312,25,Avon Street,"25 Avon Street, Gore",Gore District,,,,,,25,,,,Avon,Street,,,,Gore,Gore,Thoroughfare,Current,168.9484395,-46.09456357,Avon,,,Gore,Gore,Avon Street,"25 Avon Street, Gore",1286822.933,4887461.367
POINT (1285660.6612466 4888198.09796417),1314066,AIMS,1158172,44,Waimea Street,"44 Waimea Street, Gore",Gore District,,,,,,44,,,,Waimea,Street,,,,Gore,Gore,Thoroughfare,Current,168.9339284,-46.08741607,Waimea,,,Gore,Gore,Waimea Street,"44 Waimea Street, Gore",1285660.661,4888198.098
POINT (1285819.35100848 4885234.97289948),1620046,AIMS,1391028,1,Charlton Road,"1 Charlton Road, Gore",Gore District,,,,,,1,,,,Charlton,Road,,,,Gore,Gore,Thoroughfare,Current,168.9340177,-46.11409048,Charlton,,,Gore,Gore,Charlton Road,"1 Charlton Road, Gore",1285819.351,4885234.973
POINT (1287460.04724745 4888473.52835881),118433,AIMS,112140,7,Kiwi Street,"7 Kiwi Street, East Gore, Gore",Gore District,,,,,,7,,,,Kiwi,Street,,,,East Gore,Gore,Thoroughfare,Current,168.9573261,-46.08576822,Kiwi,,,East Gore,Gore,Kiwi Street,"7 Kiwi Street, East Gore, Gore",1287460.047,4888473.528
POINT (1311068.17344133 4989700.78101083),13093,AIMS,12601,56,Hazlett Street,"56 Hazlett Street, Clyde",Central Otago District,,,,,,56,,,,Hazlett,Street,,,,Clyde,Clyde,Thoroughfare,Current,169.3220717,-45.18692678,Hazlett,,,Clyde,Clyde,Hazlett Street,"56 Hazlett Street, Clyde",1311068.173,4989700.781
POINT (1311633.65126686 4988923.77784905),13448,AIMS,12910,12,Waldron Place,"12 Waldron Place, Clyde",Central Otago District,,,,,,12,,,,Waldron,Place,,,,Clyde,Clyde,Thoroughfare,Current,169.3288057,-45.19413812,Waldron,,,Clyde,Clyde,Waldron Place,"12 Waldron Place, Clyde",1311633.651,4988923.778
POINT (1316308.64654239 4981819.93331899),14721,AIMS,14065,11,Aronui Road,"11 Aronui Road, Bridge Hill, Alexandra",Central Otago District,,,,,,11,,,,Aronui,Road,,,,Bridge Hill,Alexandra,Thoroughfare,Current,169.3841543,-45.25985287,Aronui,,,Bridge Hill,Alexandra,Aronui Road,"11 Aronui Road, Bridge Hill, Alexandra",1316308.647,4981819.933
POINT (1316534.25823425 4983058.15220519),15829,AIMS,15116,8,Moa Street,"8 Moa Street, Alexandra",Central Otago District,,,,,,8,,,,Moa,Street,,,,Alexandra,Alexandra,Thoroughfare,Current,169.3877303,-45.24882013,Moa,,,Alexandra,Alexandra,Moa Street,"8 Moa Street, Alexandra",1316534.258,4983058.152
POINT (1316895.30464226 4983256.79502165),15817,AIMS,15105,8,Chicago Street,"8 Chicago Street, Alexandra",Central Otago District,,,,,,8,,,,Chicago,Street,,,,Alexandra,Alexandra,Thoroughfare,Current,169.3924352,-45.24718092,Chicago,,,Alexandra,Alexandra,Chicago Street,"8 Chicago Street, Alexandra",1316895.305,4983256.795
POINT (1311646.82234154 4988999.88386817),75952,AIMS,71418,95,Fache Street,"95 Fache Street, Clyde",Central Otago District,,,,,,95,,,,Fache,Street,,,,Clyde,Clyde,Thoroughfare,Current,169.3290171,-45.19345983,Fache,,,Clyde,Clyde,Fache Street,"95 Fache Street, Clyde",1311646.822,4988999.884
POINT (1311325.52127504 4989488.98197049),1678067,AIMS,1429339,85,Hazlett Street,"85 Hazlett Street, Clyde",Central Otago District,,,,,,85,,,,Hazlett,Street,,,,Clyde,Clyde,Thoroughfare,Current,169.3252182,-45.18893477,Hazlett,,,Clyde,Clyde,Hazlett Street,"85 Hazlett Street, Clyde",1311325.521,4989488.982
POINT (1313007.00673694 4988085.5268948),2194151,AIMS,5033641,22,Young Lane,"22 Young Lane, Clyde",Central Otago District,,,,,,22,,,,Young,Lane,,,,Clyde,Clyde,Thoroughfare,Current,169.3457716,-45.20222865,Young,,,Clyde,Clyde,Young Lane,"22 Young Lane, Clyde",1313007.007,4988085.527
POINT (1300451.35642467 5004979.08865958),10307,AIMS,9958,3,Mayo Place,"3 Mayo Place, Cromwell",Central Otago District,,,,,,3,,,,Mayo,Place,,,,Cromwell,Cromwell,Thoroughfare,Current,169.196361,-45.04527098,Mayo,,,Cromwell,Cromwell,Mayo Place,"3 Mayo Place, Cromwell",1300451.356,5004979.089
POINT (1300491.44191255 5004286.8114497),1467376,AIMS,2698730,2C,McKellar Court,"2C McKellar Court, Cromwell",Central Otago District,,,,,,2,C,,,McKellar,Court,,,,Cromwell,Cromwell,Thoroughfare,Current,169.1964562,-45.05150595,McKellar,,,Cromwell,Cromwell,McKellar Court,"2C McKellar Court, Cromwell",1300491.442,5004286.811
POINT (1372360.84891524 4998911.81337648),24364,AIMS,23311,61,Bute Street,"61 Bute Street, Ranfurly",Central Otago District,,,,,,61,,,,Bute,Street,,,,Ranfurly,Ranfurly,Thoroughfare,Current,170.1053548,-45.12657473,Bute,,,Ranfurly,Ranfurly,Bute Street,"61 Bute Street, Ranfurly",1372360.849,4998911.813
POINT (1368177.18339174 5001882.74187218),1400897,AIMS,1541457,53,Dowling Road,"53 Dowling Road, Ranfurly",Central Otago District,,,,,,53,,,,Dowling,Road,,,,Ranfurly,Ranfurly,Thoroughfare,Current,170.0536012,-45.0985065,Dowling,,,Ranfurly,Ranfurly,Dowling Road,"53 Dowling Road, Ranfurly",1368177.183,5001882.742
POINT (1189793.46987139 4877089.02538086),76881,AIMS,72311,61,Main Road,"61 Main Road, Tuatapere",Southland District,,,,,,61,,,,Main,Road,,,,Tuatapere,Tuatapere,Thoroughfare,Current,167.689037,-46.1362348,Main,,,Tuatapere,Tuatapere,Main Road,"61 Main Road, Tuatapere",1189793.47,4877089.025
POINT (1186712.79139743 4957802.85567188),77500,AIMS,72897,24,Gunn Street,"24 Gunn Street, Te Anau",Southland District,,,,,,24,,,,Gunn,Street,,,,Te Anau,Te Anau,Thoroughfare,Current,167.7182531,-45.41102597,Gunn,,,Te Anau,Te Anau,Gunn Street,"24 Gunn Street, Te Anau",1186712.791,4957802.856
POINT (1186517.85950254 4957899.87093449),77631,AIMS,73021,63,Matai Street,"63 Matai Street, Te Anau",Southland District,,,,,,63,,,,Matai,Street,,,,Te Anau,Te Anau,Thoroughfare,Current,167.7158538,-45.41004137,Matai,,,Te Anau,Te Anau,Matai Street,"63 Matai Street, Te Anau",1186517.86,4957899.871
POINT (1187115.53687329 4958656.97930212),1375390,AIMS,1206109,146,Aparima Drive,"146 Aparima Drive, Te Anau",Southland District,,,,,,146,,,,Aparima,Drive,,,,Te Anau,Te Anau,Thoroughfare,Current,167.7240929,-45.40360793,Aparima,,,Te Anau,Te Anau,Aparima Drive,"146 Aparima Drive, Te Anau",1187115.537,4958656.979
POINT (1191400.37804782 4959638.87680111),1760940,AIMS,3205396,162,Sinclair Road,"162 Sinclair Road, Te Anau",Southland District,,,,,,162,,,,Sinclair,Road,,,,Te Anau,Te Anau,Thoroughfare,Current,167.7794284,-45.39731873,Sinclair,,,Te Anau,Te Anau,Sinclair Road,"162 Sinclair Road, Te Anau",1191400.378,4959638.877
POINT (1238751.83896265 4879419.84065364),55926,AIMS,1560685,25B,Meldrum Street,"25B Meldrum Street, Winton",Southland District,,,,,,25,B,,,Meldrum,Street,,,,Winton,Winton,Thoroughfare,Current,168.3223904,-46.14299595,Meldrum,,,Winton,Winton,Meldrum Street,"25B Meldrum Street, Winton",1238751.839,4879419.841
